lambda_2,lambda_3,user3_full_window_prediction_mse_2013,user3_normalized_missing_imputation_rmse_2013,prediction_windows,target_points,windows_per_user,stride_hours,review_test_prediction_mse_2013,review_imputation_rmse_2013,review_best_iteration,review_model_dir,review_imputed_processed
100.0,0.0,13.605671084897303,0.11752702816999465,329,55272,329,24,136.0691680908203,0.1128855510133625,3000,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0\guided_imputed_processed.csv
100.0,1e-05,13.605665829994912,0.1175323109255391,329,55272,329,24,136.08154296875,0.1128500585693847,3000,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_1e-05,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_1e-05\guided_imputed_processed.csv
100.0,0.0001,13.602634262683068,0.11756410348768462,329,55272,329,24,136.28811645507812,0.112514966975387,3000,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p0001,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p0001\guided_imputed_processed.csv
100.0,0.001,13.514786033272168,0.11659180706195123,329,55272,329,24,138.66937255859375,0.111353617457276,2550,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p001,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p001\guided_imputed_processed.csv
100.0,0.01,13.523768523958438,0.11798863904695038,329,55272,329,24,141.05386352539062,0.1104599780741852,2775,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p01,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p01\guided_imputed_processed.csv
100.0,0.1,13.782143827510676,0.11936006725392642,329,55272,329,24,141.54632568359375,0.11123331311378198,2775,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p1,C:\llm_project\Improved LSTM+GAIN_pytorch\Improved LSTM+GAIN\review_training_hyperparam_experiments\models\lambda_0p1\guided_imputed_processed.csv
